[3348692149, 53694]
[3890314065, 38136]
[3442985265, 60020]
[3890314079, 60681]
[3453500417, 14424]
[283728033, 26670]
[3347521646, 63838]
[3353384557, 50520]
[3455649552, 63113]
[854841012, 33664]
[3608918870, 58425]
[3352050587, 1827]
[3255952448, 42218]
[3353306561, 50378]
[4095553689, 49604]
[4102004695, 40070]
[3257542501, 1979]
[3448447998, 52533]
[3349791710, 63903]
[1235573546, 445]
[3337040926, 42639]
[3890314059, 41515]
[3453268200, 36999]
[3447596457, 123]
[3455736242, 28479]
[3444017678, 24643]
[3337698475, 23]
[4041155941, 37580]
[3451142813, 58392]
[3472952378, 44785]
[3473703414, 33444]
[3446785218, 31274]
[3347702637, 43456]
[3890314063, 5125]
[4102027802, 10001]
[3448418365, 50937]
[3569542066, 60057]
[3223206567, 27063]
[3890314064, 10358]
[3978971493, 56964]
[3447598808, 60526]
[854646237, 41800]
[2339489123, 60138]
[3443695436, 17525]
[3353305310, 14333]
[3353306423, 14333]
[3353306071, 14333]
[3890314056, 53978]
[3455736003, 52844]
[3450301197, 58515]
[3349748584, 58498]
[3255952425, 59350]
[3350329558, 53619]
[3453269682, 49320]
[3348657067, 2323]
[3608568134, 50208]
[3233178861, 23]
[3450222505, 27665]
[3618723768, 50613]
[3890314065, 45713]
[3260416673, 21777]
[3259078373, 60519]
[3336502237, 3709]
[1962334167, 57495]
[3569494841, 123]
[3890314058, 6048]
[3453511198, 2222]
[3257542470, 39885]
[3473706167, 2472]
[3349801661, 8080]
[3890314060, 4426]
[3453615778, 51822]
[3255952674, 34857]
[3338139259, 38483]
[2205373386, 58419]
[3441432265, 59943]
[846934975, 30214]
[2270145466, 2166]
[3447541312, 60524]
[3455660334, 53430]
[3337741080, 8080]
[3484910729, 48862]
[3257475643, 48590]
[3353180126, 51538]
[3334483081, 7117]
[3352054269, 47408]
[3337636394, 58764]
[2339489093, 46402]
[4093898827, 3497]
[3890314063, 4848]
[3262265092, 37968]
[3233155119, 35215]
[271618217, 45521]
[4215913757, 27429]
[271618245, 53295]
[1074109341, 32927]
[3890314057, 20019]
[3338558330, 20864]
[3450221920, 52236]
[3336941656, 63678]
[3608353407, 53992]
[3230106514, 5517]
[3347605330, 26486]
[3257478864, 45090]
[3978971498, 9242]
[2320216101, 10001]
[3348639971, 4322]
[3890314063, 47659]
[4093843788, 44295]
[4093898791, 3610]
[3978971498, 42284]
[3338557588, 50271]
[3484913640, 1048]
[3453158813, 27665]
[3454856987, 47450]
[1074109342, 61614]
[3230106493, 57068]
[3607972016, 10124]
[3233189120, 43722]
[3890314058, 11429]
[3353312246, 14333]
[3453615899, 51299]
[4030686484, 17644]
[3978971484, 30840]
