[66868280, 4104]
[1245182065, 43611]
[1115890104, 57773]
[737131022, 443]
[1875766662, 33081]
[3326272512, 13492]
[23440411, 57224]
[1875712463, 51617]
[3710835834, 53]
[3546984721, 80]
[3701214613, 49324]
[2579574747, 38740]
[3701213575, 9943]
[23111404, 443]
[24101116, 23]
[2774293104, 50670]
[3693459033, 51321]
[16953096, 30000]
[737992839, 443]
[3623944465, 34819]
[3530312389, 80]
[67013318, 15078]
[1137641717, 63715]
[3326272531, 15940]
[1760528565, 60848]
[1797184645, 443]
[724248601, 9111]
[958607899, 63520]
[66885464, 2118]
[380549158, 5900]
[385446432, 50449]
[737021600, 54999]
[378046415, 34761]
[66787368, 80]
[1156179191, 55136]
[2774293491, 57882]
[1257175701, 53]
[1097137640, 53]
[24979044, 57346]
[19865644, 15404]
[1797189556, 443]
[3328302446, 1900]
[24021165, 80]
[378548207, 80]
[380323956, 5900]
[371020662, 39701]
[737085630, 443]
[24906215, 443]
[3546997619, 59849]
[2579592575, 62340]
[1757947768, 27675]
[23111341, 443]
[16941378, 80]
[3328286136, 123]
[3387416130, 37278]
[380367217, 5900]
[372381883, 47280]
[737993102, 80]
[1130475083, 40880]
[26339860, 8253]
[1760528618, 51426]
[3504996156, 38040]
[1264216460, 5262]
[3052832960, 5900]
[1797114920, 80]
[385683186, 2903]
[3326272533, 13775]
[2313298320, 80]
[3326272512, 14866]
[1760528609, 17913]
[19011244, 30000]
[380313754, 5900]
[380671722, 47360]
[3499250521, 41719]
[17681766, 9339]
[24067018, 80]
[60733706, 443]
[98875880, 51018]
[3547001420, 43842]
[737096993, 80]
[1875764329, 8999]
[3327553418, 80]
[3384391990, 53]
[1264216460, 26828]
[3318244681, 16224]
[373259634, 44433]
[17815345, 16220]
[59459206, 22087]
[60790229, 80]
[3722030320, 80]
[23476404, 80]
[1875764469, 59997]
[2579620751, 57626]
[1257164044, 49438]
[737993053, 37990]
[371612230, 2204]
[731109174, 443]
[1225252498, 62814]
[385093741, 15806]
[2579574347, 43533]
[1274262750, 6499]
[23455212, 35120]
[20589801, 17614]
[1094766909, 40599]
[380368796, 5900]
[1225232818, 42640]
[3547001406, 43263]
[2579574307, 42071]
[3504996255, 56403]
[19268592, 37340]
[1177996263, 40959]
[23115976, 80]
[1875712494, 56300]
[1875764466, 24349]
[3326272529, 15224]
[3720603420, 44001]
[377721768, 64525]
[737138410, 443]
[1875712321, 22813]
[736931059, 49317]
[380341954, 5900]
[1757947768, 2737]
[17632504, 5562]
[721998398, 443]
[371192305, 16368]
[382313879, 52977]
[2250678137, 80]
[731118819, 35154]
[24963518, 80]
[19792172, 80]
[2962092726, 445]
[2300806014, 60666]
[381100903, 29517]
[1875766652, 57722]
[3547001406, 39281]
[378548204, 80]
[2846861770, 58053]
[372789842, 64519]
[3693459170, 53354]
[66713263, 443]
[1712229195, 50563]
[20589800, 29320]
[3548117789, 443]
[59079434, 9050]
[3326272516, 39865]
[1758552854, 33051]
[3326272531, 8327]
[1166019199, 26205]
[2030775517, 49157]
[721977902, 3389]
[23117943, 443]
[1875712466, 8080]
[2443400526, 61858]
[382765205, 23]
[67082544, 58535]
[3526528057, 443]
[380318080, 5900]
[1264216460, 32038]
[380368770, 5900]
[3518516946, 5060]
[26340609, 8253]
[3328277986, 6881]
[2641442801, 47931]
[2450082446, 32492]
[380324181, 5900]
[3702138412, 443]
[1757947544, 36285]
[26282385, 80]
[3504996255, 16164]
[2579574383, 80]
[371891470, 10001]
[737992828, 80]
[3547001404, 34653]
[1104922748, 34202]
[3547001420, 49769]
[1875764412, 6813]
[1099824709, 54940]
[380655154, 123]
[253570119, 80]
[23104679, 80]
[1714138798, 443]
[1875764435, 50273]
[1864747060, 10886]
[380353122, 5900]
[1176452628, 58171]
[3504996108, 57790]
[371996960, 3995]
[1264216460, 51784]
[3209720166, 20695]
[3326272529, 59000]
[3326272533, 20947]
[737123142, 80]
[65825643, 3333]
[3326272531, 39579]
[66735112, 443]
[1875764311, 64743]
[19159827, 1863]
[2579592678, 58179]
