[835556725, 443]
[1773838378, 35523]
[2819481628, 14428]
[1773838079, 47877]
[550265876, 23]
[3214966351, 44015]
[2497202231, 57006]
[3084347924, 25221]
[3038919504, 53301]
[2568633721, 11002]
[3376481878, 80]
[2496630943, 49249]
[659809046, 80]
[1118238854, 19360]
[2568627134, 58948]
[878202754, 54119]
[1044061096, 59415]
[808061704, 49160]
[2608558606, 1998]
[779309698, 48997]
[3457770268, 42724]
[890897807, 22]
[2131277242, 80]
[3853557261, 65311]
[933509266, 60208]
[841492893, 60865]
[2563634440, 55832]
[835556836, 37286]
[3380591574, 443]
[2568633639, 13804]
[2162340588, 22]
[1304396543, 52343]
[812925399, 443]
[3463868307, 80]
[550265886, 23]
[657851992, 51935]
[1118238948, 20302]
[2568629434, 49178]
[3463743771, 59931]
[3374675622, 58141]
[3450734880, 28527]
[2759590157, 56790]
[3084347922, 53364]
[1044061067, 10851]
[2190754008, 53]
[1046164325, 443]
[1221337246, 53]
[2478481093, 39098]
[956747424, 15000]
[2608555598, 1998]
[3376511920, 443]
[2624256099, 44548]
[1429475557, 49343]
[1004136380, 1935]
[2563629010, 33910]
[1492649690, 54645]
[1047794791, 14960]
[876159296, 45371]
[1400002352, 64381]
[2384247806, 1433]
[878206082, 26333]
[875230444, 51244]
[842399825, 47338]
[2704780005, 41894]
[2632895752, 15616]
[1404334539, 34674]
[3183667943, 6482]
[2806665804, 1433]
[2598772014, 137]
[2548848758, 35024]
[1316219212, 445]
[3105490174, 3157]
[2421954586, 4749]
[1806880484, 9050]
[891550688, 56272]
[1300678027, 35234]
[3374660163, 443]
[1404506071, 1034]
[957893940, 38086]
[2369369437, 44587]
[1516208735, 80]
[901631600, 33115]
[3457769818, 80]
[2369143081, 5000]
[1524880240, 61605]
[1150170575, 41606]
[2131396241, 36852]
[1302655970, 23827]
[3520165355, 54248]
[1928396951, 80]
[2083497854, 54716]
[3188419890, 62801]
[3450753190, 62129]
[2650641544, 20513]
[2608556130, 1998]
[1395201817, 32636]
[1404342030, 45543]
[977403841, 80]
[3445780900, 24082]
[3376979890, 80]
[3462489770, 25]
[1511271435, 80]
[779309699, 8364]
[2563620918, 64848]
[2189192021, 61347]
[2624157356, 2540]
[3149635733, 20189]
[2568633709, 16340]
[2568632131, 59068]
[2422138523, 59041]
[2129992450, 64659]
[2574780254, 12428]
[3380514143, 44028]
[778032739, 65459]
[1488245643, 49801]
[3084348079, 55343]
[2369369460, 62230]
[3174907704, 52449]
[3136156269, 58622]
[901458952, 39775]
[969417038, 37574]
[1304397248, 5222]
[2568633716, 14435]
[1900916726, 443]
[3197396778, 49237]
[3084347920, 50648]
[3378207739, 443]
[1058766940, 23848]
[772528858, 12997]
[2568631578, 53847]
[1806852877, 80]
[2624256096, 38933]
[3125531784, 22613]
[1672425588, 445]
[2369369410, 2447]
[928508834, 1048]
[1396611260, 37744]
[3450634718, 63789]
[2790472778, 48539]
[2871497424, 52982]
[2704781063, 64772]
[1150164558, 43983]
[3183667943, 23001]
[3906221089, 80]
[2616733989, 1452]
[661489321, 80]
[3890408284, 53]
[2101173003, 50982]
[3136152792, 48973]
[2131277215, 80]
[3464356888, 54724]
[3083473836, 40149]
[1044061115, 37627]
[3212867891, 80]
[878528436, 28273]
[2568632152, 62402]
[2806665978, 1433]
[3134959677, 40728]
[3377761656, 55520]
[1300716926, 11888]
[2163258941, 46171]
[3045362032, 80]
[1118238851, 42888]
[2568873638, 62893]
[3084348091, 2694]
[2568633713, 36677]
[1118238923, 10583]
[2760369483, 64166]
[2568627163, 52735]
[3084348092, 17213]
[2722492831, 51488]
[2247086694, 58769]
[969661597, 43688]
[891093170, 29253]
[655443729, 40903]
[885855370, 6890]
[2421968899, 6881]
[2613592068, 53]
[2587685126, 62412]
[2521760262, 44330]
[2422010915, 34674]
[1150209488, 52194]
[1578198801, 51264]
[2979923154, 55695]
[1118238940, 25577]
[1404528787, 60095]
[3125216668, 3094]
[2496581604, 45811]
[549543206, 46454]
[3463857670, 80]
[2369439639, 38272]
[3149676652, 80]
[3184303104, 25]
[4047059367, 3389]
[3450744360, 11136]
[2790472531, 52561]
[1047794774, 14859]
[1044061118, 48499]
[3851371948, 58323]
[3896054456, 80]
[3084347914, 26196]
[1555118029, 56807]
[1043285856, 38573]
[914265181, 31193]
[3183667943, 29632]
[920369311, 3619]
[1404447588, 1036]
[2436184709, 10261]
[2570659533, 123]
[2369369436, 43279]
[2245110076, 65041]
[2650641582, 30702]
[1047794765, 14889]
[2759974164, 7526]
[1118238887, 24778]
[2628207069, 10092]
[2568633704, 54914]
[2496379255, 46500]
[2496569138, 59741]
[835556803, 33679]
[2497278821, 1274]
[807451509, 11444]
[969027808, 1187]
[3380591975, 443]
[2608550533, 1998]
[2505571664, 56284]
[2497286411, 17479]
[1044061069, 7300]
[3133398962, 43032]
[1044059272, 36022]
[2822247159, 63713]
[3125530985, 54530]
[1928396874, 80]
[4250543943, 1215]
[2631337707, 16515]
[3212890442, 80]
[4047060527, 3389]
[3883959579, 43511]
[890944746, 53]
[881140798, 60216]
[3896054437, 80]
[2142230260, 54]
[2155593026, 48244]
[1404533627, 57156]
[3183667943, 22767]
[3579318380, 23]
[2247086680, 34723]
[922046629, 54113]
[3084347941, 51852]
[1118238922, 38310]
[3164638879, 53787]
[3183667943, 37079]
[868356531, 48993]
[1939694752, 63348]
[868356464, 47697]
[2568626282, 64838]
[1047794863, 443]
[3084347949, 31853]
[3378094409, 1311]
[2334199488, 80]
[1939697907, 80]
[2930139508, 20776]
