epoch total_packet_count true_cardinality
1 648669 67307
2 654603 67144
3 660568 66654
4 646142 66456
5 632651 66381
6 635529 65865
7 622070 66194
8 628436 66762
9 618706 67726
10 605449 68716
11 619962 69110
12 618484 66496
13 633557 66588
14 627927 66123
15 613589 66773
16 618870 66351
17 635259 66092
18 613987 65489
19 628582 65992
20 604039 65858
21 629070 65760
22 645380 65394
23 641938 65281
24 635100 65350
25 624631 66086
26 630159 66023
27 631168 65914
28 629504 65700
29 619026 65547
30 621912 65883
31 604862 65683
32 617490 65958
33 619292 65445
34 620109 65797
35 618684 66427
36 631949 66897
37 628520 65854
38 628075 67085
39 632478 66720
40 618076 67620
41 627696 68231
42 621098 66694
43 615963 67558
44 618877 67454
45 637083 68051
46 612724 67482
47 611425 67128
48 618792 66725
49 621366 67446
50 627027 67449
51 622287 67693
52 617191 67798
53 611896 68128
54 637742 68050
55 620139 68280
56 633189 68691
57 621222 68479
58 630715 68095
59 627265 68376
60 609793 68085
