epoch total_packet_count true_cardinality
1 614992 67468
2 612549 67902
3 615030 68135
4 622157 67331
5 613006 67595
6 607396 66611
7 618764 66942
8 626200 66897
9 638161 66539
10 657474 67484
11 605631 67442
12 611871 66555
13 603336 66732
14 610143 66638
15 620047 67101
16 606322 66631
17 607230 66773
18 615001 66217
19 606023 66975
20 615054 67035
21 612268 66437
22 598158 66568
23 593787 66334
24 609375 66005
25 603798 66153
26 609462 66217
27 609967 65781
28 610837 65459
29 615213 65636
30 622788 65307
31 617096 65396
32 606752 65234
33 603910 64722
34 601525 65170
35 599724 65353
36 608985 65740
37 613566 65330
38 622067 65623
39 634708 66923
40 623299 65710
41 610934 65712
42 605786 65618
43 597865 65813
44 601131 65108
45 634320 65712
46 608013 65599
47 632525 65792
48 612521 64820
49 603987 65525
50 632486 65735
51 615734 65371
52 609077 65481
53 614324 65423
54 641796 65698
55 632543 65696
56 615702 65613
57 623344 66227
58 626424 65771
59 619676 66141
60 626331 66147
