epoch total_packet_count true_cardinality
1 641198 66476
2 615242 66831
3 610408 67582
4 621773 68445
5 610495 67517
6 614469 67153
7 622625 67978
8 613540 67383
9 618852 67206
10 622570 67840
11 645114 68093
12 620043 67544
13 631391 66924
14 629175 66142
15 615924 65924
16 604880 65709
17 631627 65553
18 627670 65288
19 636344 65823
20 611543 65593
21 616976 66009
22 622844 66362
23 651226 66145
24 624367 65890
25 618295 66018
26 613174 66160
27 620636 65376
28 616910 65348
29 617470 65932
30 620921 66675
31 624863 66450
32 638659 66055
33 627363 65583
34 618849 65863
35 628023 67413
36 614837 66110
37 631182 66519
38 631124 66737
39 642883 66849
40 634238 67472
41 640118 66601
42 642863 66567
43 637703 66558
44 620078 66365
45 617898 66383
46 620017 66679
47 622633 66387
48 623057 66205
49 632133 66452
50 629561 66605
51 617068 66208
52 620855 66536
53 626599 66711
54 624043 66283
55 631796 66459
56 647888 66453
57 632892 66084
58 621267 66212
59 626552 67101
60 621827 66546
