[965237642, 161]
[1929285105, 45331]
[654557961, 31877]
[1939701756, 80]
[869177665, 40588]
[2369157418, 80]
[3907274755, 51528]
[957980314, 26315]
[2497346613, 51783]
[3139204484, 49290]
[655097486, 36416]
[3450713902, 50998]
[3074717461, 53527]
[2568628441, 61907]
[1523690338, 32180]
[1404317179, 4269]
[3450707815, 45832]
[1301209923, 33014]
[1302890727, 54082]
[3463864650, 80]
[932286619, 43715]
[1118238854, 55529]
[2497290765, 10596]
[957980404, 13659]
[3450755050, 15561]
[1412183698, 65514]
[661548495, 11427]
[2368966159, 80]
[3380127784, 0]
[1118238817, 5600]
[2422055363, 49839]
[821602543, 22]
[3450813795, 65359]
[2624276057, 57904]
[662315333, 59410]
[656024207, 1433]
[1301209923, 56250]
[1044061088, 27992]
[2759727231, 61438]
[1928453210, 22]
[2790470526, 64080]
[2631382111, 14386]
[2819257691, 37198]
[3854261244, 45392]
[957980262, 2958]
[2790469905, 56107]
[2083741450, 55444]
[3908534697, 80]
[2369129838, 80]
[1773832085, 53]
[878214479, 58999]
[2584991860, 54969]
[2790470264, 44027]
[957980372, 15804]
[2568630018, 59171]
[2568642439, 60545]
[2568632197, 51176]
[3450769993, 49424]
[2504335743, 58027]
[989807233, 48761]
[3125532367, 35490]
[2496586500, 24874]
[2369126474, 80]
[3450749649, 63715]
[1404504670, 50497]
[2497344142, 27974]
[878190845, 49446]
[2497332855, 27633]
[3084348088, 38352]
[2497336799, 11592]
[3084347961, 21445]
[2369129243, 80]
[2421981020, 48657]
[906391273, 3285]
[912598874, 13460]
[1150180671, 1484]
[938402937, 16424]
[2967018646, 49607]
[3909043265, 11762]
[3853046736, 42523]
[1523695204, 30906]
[661547388, 4426]
[2131396244, 49380]
[906391192, 15091]
[591375649, 2687]
[1353429673, 50854]
[1043285842, 8888]
[3136150895, 80]
[3450824209, 11386]
[1523690344, 38870]
[4077679271, 59047]
[2497337706, 52944]
[932286619, 49757]
[3125532365, 63669]
[3851946585, 64285]
[1511330544, 64068]
[2790472477, 47923]
[2624276169, 51473]
[957980289, 54968]
[3450808048, 51215]
[1069773393, 54637]
[969417001, 49549]
[2497325619, 28635]
[816712979, 59643]
[3450701973, 10020]
[881140840, 51661]
[661489293, 65117]
[3124715116, 80]
[1118238851, 53337]
[859299736, 9050]
[1353876637, 35745]
[1115917043, 39406]
[1579990462, 50043]
[1566247924, 33258]
[2650641559, 26726]
[1512238063, 443]
[957980298, 28602]
[549540136, 49263]
[2568633647, 47523]
[3450712083, 51185]
[3462479423, 10166]
[1150215709, 65535]
[957980362, 10647]
[957980352, 54661]
[1385747868, 49641]
[957980366, 64948]
[1773828983, 44372]
[2568632214, 51160]
[957980321, 1686]
[3909079009, 11762]
[3174597296, 47900]
[2496533454, 14079]
[3380591521, 443]
[1300677970, 60026]
[1362120090, 51253]
[935565654, 37000]
[4116635594, 0]
[2563526346, 50376]
[1150219524, 40834]
[1044061093, 26690]
[2568632149, 47878]
[938402938, 63032]
[3328698805, 31669]
[868354286, 59420]
[1310345580, 36708]
[957980353, 49611]
[3462507176, 443]
[3376943470, 443]
[957980345, 50858]
[1041641894, 80]
[1058767835, 48366]
[1150180664, 80]
[1523690344, 41075]
[881147720, 64232]
[1301255221, 53]
[3852005044, 52372]
[2875288142, 33436]
[1150181319, 37762]
[3450769822, 54727]
[2632876777, 1024]
[3380591910, 443]
[1928451306, 22]
[932286619, 60535]
[3378520149, 443]
[3027238760, 15994]
[3125531892, 443]
[1002772754, 2814]
[3584906358, 49183]
[1301132548, 33089]
[2568632218, 49400]
[1509682068, 15564]
[3326310768, 24209]
[1060868645, 43283]
[2245045042, 50246]
[2568632221, 17837]
[3450700757, 22293]
[3907275166, 43030]
[1928452805, 22]
[1411483611, 80]
[3084347923, 3622]
[3084348126, 20710]
[3854532542, 62433]
[3198489831, 58247]
[1044061102, 59151]
[3217963158, 57069]
[3450742146, 55950]
[2131379120, 18835]
[932286619, 51709]
[2369144640, 80]
[3445767154, 38565]
[2369146644, 80]
[776234945, 55409]
[1057363686, 53]
[2625781515, 49160]
[819786406, 3933]
[2568635069, 40828]
[3520165008, 60841]
[779309704, 38259]
[1304342486, 49464]
[1580449624, 19069]
[2568632202, 49789]
[3084347948, 47395]
[2826903942, 6881]
[1523690344, 37381]
[822328327, 60848]
[1310349605, 60145]
[3463744729, 56785]
[2131051627, 1433]
[949151127, 50294]
[551053033, 55153]
[3450749512, 61110]
[1118238836, 53862]
[2421957607, 51443]
[1797103773, 123]
[1055970215, 64985]
[1004985969, 63471]
[2911965307, 51572]
[2422058640, 14791]
[1773838594, 53]
[957980377, 56698]
[1044061158, 1165]
[2962599520, 56866]
[3450733871, 2415]
[1404479505, 54561]
[2790472511, 55316]
[3450759967, 11103]
[881139864, 56208]
[2369137332, 80]
[2631345508, 51827]
[3854537846, 64808]
[2369158177, 80]
[913266409, 1192]
[2650641550, 65404]
[1044061154, 26483]
[1404511275, 52209]
[2568629389, 54678]
[2354759829, 36382]
[3450717266, 50629]
[3450776268, 25914]
[2497429653, 56996]
[989519687, 53743]
[1044061163, 45950]
[2380185953, 80]
[549540879, 6546]
[1301209923, 32967]
[1044061099, 31612]
[827253200, 50067]
[1300898553, 25]
[3457769813, 443]
[1118238948, 47285]
[2624213095, 43089]
[1353429519, 56874]
[1304342487, 56990]
[1055970138, 17455]
[868356506, 52881]
[1349802880, 33519]
[1252575231, 58740]
[3117455518, 59910]
[551053006, 16893]
[3084348067, 25093]
[2711543053, 4784]
[2369147662, 64272]
[957980298, 25057]
[1044059277, 54839]
[2568633708, 37844]
[4074342138, 14880]
[859299651, 80]
[1524005524, 41845]
[2742738994, 59145]
[4185464921, 62539]
[1293401104, 47104]
[1044061158, 8077]
[957980333, 58287]
[878204251, 43461]
[1523690342, 25539]
[932286619, 60732]
[3903550853, 53250]
[1301209923, 55020]
[1430421413, 58074]
[906391253, 25605]
[3450785649, 50372]
[2563617890, 33666]
[938378925, 33911]
[1046164313, 80]
[957980365, 54769]
[4184827842, 33693]
[2940516109, 55151]
[957980307, 55389]
[1574662335, 45492]
[878214309, 58973]
[2838694019, 9050]
[2786468898, 60925]
[1310345580, 60177]
[957980380, 35591]
[725533490, 2147]
[2422034795, 50242]
[2368895293, 80]
[2422057134, 49848]
[2743675643, 63662]
[3450744385, 1522]
[839619893, 443]
[1301209923, 50232]
[2369369462, 26724]
[3048127005, 63766]
[2624305001, 24407]
[1304330931, 19680]
[1044061155, 8035]
[3076816813, 42672]
[1304314972, 52000]
[1573978361, 58511]
[2584840981, 21251]
[788773095, 47460]
[879518333, 17965]
[2883995241, 49242]
[1004136332, 51076]
[2631295915, 57029]
[1404352569, 44756]
[3377775559, 443]
[1044061109, 59749]
[883011616, 58507]
[779309452, 17913]
[2368895067, 80]
[3254450269, 38370]
[3136156170, 56936]
[932286619, 46313]
[748619575, 1217]
[1098001257, 52024]
[1301209923, 50177]
[906391249, 19012]
[2631204217, 26085]
[3520165105, 48650]
[2142234906, 40482]
[2778331446, 27861]
[1044061080, 32835]
[772496567, 443]
