epoch dstIP_top1_packet_count
1 2172
2 2179
3 2254
4 2142
5 2091
6 2053
7 2086
8 2051
9 2062
10 2105
11 2114
12 2065
13 2156
14 2115
15 2097
16 2139
17 2089
18 2044
19 2074
20 1974
21 2081
22 2150
23 2147
24 2110
25 2058
26 2149
27 2094
28 2126
29 2053
30 2118
31 2024
32 2086
33 2098
34 2093
35 1999
36 2172
37 2062
38 2108
39 2148
40 2061
41 2122
42 2147
43 2083
44 2049
45 2159
46 1987
47 2092
48 1963
49 2106
50 2149
51 2084
52 2048
53 2070
54 2041
55 2055
56 2079
57 1965
58 2116
59 2073
60 2002
