epoch dstIP_top1_packet_count
1 2068
2 2082
3 2058
4 2120
5 2147
6 2037
7 2161
8 2092
9 2178
10 2213
11 2189
12 2185
13 2200
14 2219
15 2193
16 2132
17 2031
18 2124
19 2126
20 2277
21 2128
22 2128
23 2106
24 2067
25 2055
26 2087
27 2074
28 2094
29 2084
30 2088
31 2030
32 2003
33 2123
34 2098
35 1948
36 2077
37 2007
38 2070
39 2098
40 2063
41 2071
42 2156
43 2129
44 2080
45 2096
46 1967
47 2029
48 1937
49 2103
50 2139
51 2126
52 2065
53 2073
54 1985
55 2079
56 2028
57 1927
58 2090
59 2112
60 2162
