[2569809528, 4294967295, 65535, 65535, 255]
[4294967295, 2704781293, 65535, 59653, 255]
[1150168401, 2496590250, 80, 54306, 255]
[3324416718, 1118496222, 65535, 80, 255]
[4294967295, 3380514143, 65535, 35965, 255]
[4294967295, 3450641711, 65535, 36614, 255]
[4294967295, 2512677402, 65535, 46095, 255]
[4294967295, 4294967295, 65535, 65535, 255]
[4294967295, 3905397983, 65535, 1935, 255]
