[66868280, 4104]
[381151361, 5900]
[381349383, 15854]
[1156178989, 54471]
[731118645, 54379]
[2846864608, 19908]
[20587144, 80]
[1102522983, 1588]
[3720597252, 53366]
[3328283258, 60319]
[1281268164, 50959]
[3547001404, 56091]
[1264216460, 17380]
[3547001404, 40974]
[3504558325, 21777]
[2579592560, 54246]
[3524697947, 59012]
[1797191979, 80]
[1875764470, 60315]
[2471200536, 19552]
[19060200, 30000]
[1130520752, 58611]
[26331054, 443]
[100426327, 11189]
[19190840, 48621]
[20587231, 80]
[1712229195, 43003]
[731104507, 80]
[3625048566, 20918]
[854612310, 18693]
[2300586529, 52887]
[21808081, 30000]
[2310414805, 443]
[94147385, 21243]
[16934132, 64949]
[1146560143, 37186]
[3326272512, 62864]
[380992612, 5900]
[23104910, 80]
[19227328, 80]
[2846855141, 9999]
[655698246, 39027]
[1274247574, 54542]
[3328302446, 1900]
[1156179193, 35499]
[380983171, 5900]
[2774295581, 49136]
[26217294, 30276]
[3326272516, 59366]
[737117739, 443]
[1185208388, 9050]
[2579592678, 64037]
[381452981, 28018]
[2439497292, 80]
[737993102, 80]
[2846858998, 51249]
[737993216, 54186]
[1757947768, 32107]
[1580333278, 51413]
[3547001370, 45822]
[66794446, 80]
[736931058, 40317]
[1760530080, 8255]
[371837010, 23]
[99693760, 55663]
[1797229818, 443]
[3530324014, 80]
[377735708, 53413]
[3326272533, 55485]
[737099078, 80]
[23105926, 80]
[24026889, 30000]
[1225166085, 27955]
[66048656, 5223]
[18918340, 443]
[22065218, 5558]
[3326272531, 12052]
[731118613, 56945]
[1225242155, 49974]
[1864747169, 59077]
[20587412, 80]
[2579574636, 36795]
[1098657227, 54751]
[1099793313, 39004]
[3326272516, 28772]
[378978066, 43940]
[1102556520, 443]
[1757947768, 33338]
[3674905596, 59190]
[372044332, 123]
[2579592466, 54088]
[3546994557, 25]
[381146492, 5900]
[2579574392, 50374]
[1257175787, 123]
[26703444, 30000]
[1166150020, 16200]
[3504996255, 54139]
[99741997, 3724]
[1177887240, 41154]
[2766905303, 21928]
[16953096, 30000]
[2647533553, 41283]
[2579574480, 1484]
[60707989, 443]
[1875764466, 24349]
[19865687, 15427]
[2579564558, 51406]
[1712229195, 48621]
[3530297611, 60915]
[737092615, 80]
[3547001404, 52894]
[66793284, 443]
[3632995657, 23]
[3702138002, 19371]
[1177952204, 22151]
[65955092, 10000]
[26427696, 26733]
[1099793570, 9050]
[1264216460, 29279]
[2405664728, 42350]
[1711337783, 48778]
[731105499, 80]
[371471981, 23]
[1875764390, 62096]
[1875712466, 50246]
[854613491, 29916]
[371414017, 24652]
[3530308711, 5709]
[1156179193, 56527]
[22137260, 443]
[3518518369, 3391]
[24060006, 443]
[1875760321, 39150]
[372557498, 21]
[66650692, 4244]
[736919922, 80]
[1264216460, 2665]
[1175979856, 56356]
[2159297276, 52070]
[2579574621, 50550]
[1875712473, 55252]
[380986883, 5900]
[1875764469, 1718]
[1875712489, 24497]
[1875764337, 58340]
[66875846, 54985]
[66650710, 443]
[381819563, 13523]
[65893603, 443]
[2579592678, 38416]
[66785732, 10000]
[21057503, 53484]
[1264216460, 22219]
[17594673, 35247]
[66769539, 443]
[854613491, 1366]
[1156179193, 56084]
[2579574638, 63993]
[1178032616, 53400]
[24951843, 443]
[1099793598, 39934]
[737993017, 33621]
[1875712475, 46251]
[66806613, 843]
[20593849, 80]
[2159360431, 2652]
[2828161274, 80]
[1107259569, 64035]
[253570119, 80]
[16953096, 9339]
[2846862036, 50871]
[1264216460, 51151]
[1185208449, 9050]
[1148888370, 443]
[24942567, 80]
[1711533901, 6881]
[3499679068, 20815]
[2300581775, 28855]
[1264216460, 60065]
[369503314, 123]
[1875764371, 30903]
[3720603421, 44305]
[1760528550, 50002]
[66850661, 443]
[1186270853, 36692]
[65909594, 443]
[731118837, 51230]
