[1514171070, 19364]
[760509602, 55898]
[3457721370, 80]
[1492663093, 54045]
[3084767208, 64971]
[3183667943, 46250]
[3131470189, 9121]
[2568633706, 39235]
[2760444753, 52481]
[1524858356, 62044]
[878206184, 62911]
[3450748655, 55882]
[878211077, 49227]
[1304406061, 11926]
[2568630161, 49981]
[2624305041, 26821]
[808061704, 49160]
[3117673760, 59706]
[2930938986, 1433]
[2871283483, 1433]
[3076816796, 57471]
[1404562563, 51695]
[2496473518, 25152]
[2544670922, 23886]
[891902781, 40454]
[2763492495, 60640]
[2873034554, 1433]
[2247038067, 63863]
[1044975729, 55973]
[3462479376, 443]
[2568630183, 39918]
[1118238923, 30298]
[2871281144, 1433]
[3149638880, 35049]
[3459341515, 52267]
[2869115216, 39658]
[880968695, 58896]
[1300716966, 9647]
[3457763803, 34399]
[3906261576, 44364]
[1183325503, 43630]
[3084347922, 34479]
[1304335684, 80]
[4258832058, 14297]
[946953438, 4545]
[913248702, 54073]
[3174937248, 56198]
[3463482821, 80]
[3074689053, 50258]
[2930954105, 1433]
[3378197909, 45375]
[967830886, 49245]
[1302382945, 43109]
[2534588747, 58518]
[3076900579, 52110]
[3084347908, 5233]
[2873043698, 1433]
[2704780005, 41894]
[2632895752, 15616]
[1044061081, 59588]
[2369155745, 53123]
[3450833493, 56851]
[3380591975, 443]
[1445592031, 45141]
[3084348077, 28128]
[969416999, 48743]
[2496504027, 27045]
[1043284087, 80]
[2247086666, 38463]
[878208358, 27966]
[2083189168, 28519]
[3906223227, 80]
[661489281, 35365]
[2624256397, 3001]
[3377022809, 443]
[3463857721, 80]
[1404350983, 52077]
[3380592439, 443]
[3117437342, 61927]
[3457770268, 48221]
[2369373706, 80]
[878531597, 57801]
[3197396803, 443]
[1066588862, 53]
[1395436065, 5900]
[1118238886, 38427]
[3380520140, 45295]
[3463056401, 52713]
[1558783901, 57945]
[2763417450, 63503]
[827254721, 36204]
[2497209175, 65118]
[3850313198, 12347]
[3907755820, 80]
[2260329151, 5000]
[3905557217, 443]
[1304406061, 11455]
[1118238952, 1325]
[2587662968, 5000]
[3907274823, 45964]
[1118238941, 38399]
[3890532938, 53]
[767599734, 38891]
[1395435803, 5900]
[1047794797, 14908]
[3890532902, 53]
[1304406061, 9005]
[1806833732, 45584]
[3590586484, 51344]
[2632884688, 54892]
[2631193836, 63941]
[1150181300, 53821]
[1044061064, 63956]
[2819334888, 65175]
[2131261386, 443]
[867520856, 61512]
[3183667943, 54157]
[2650641643, 47599]
[2369369460, 22395]
[2930938220, 1433]
[2624213376, 35695]
[3905397997, 1935]
[3204065112, 54567]
[2568630196, 60503]
[1047794774, 14768]
[1404564868, 49465]
[3380521339, 443]
[1150217009, 63474]
[2497190332, 25035]
[868360259, 34362]
[2873033821, 1433]
[901458956, 11533]
[794771533, 63084]
[2568622997, 10818]
[2650647176, 24921]
[921056807, 6881]
[1044061117, 35384]
[3214973083, 41195]
[1118238885, 56809]
[1514173957, 29401]
[2771129957, 42157]
[2570661141, 62056]
[1304406061, 13155]
[3445767784, 37981]
[2873034565, 1433]
[901458953, 4956]
[3183667943, 32305]
[956449526, 53]
[2873036121, 1433]
[2369369436, 8078]
[1939701733, 80]
[772491899, 12735]
[1404467908, 58453]
[670135421, 52543]
[2496473463, 15974]
[1466141130, 18241]
[2838722177, 9050]
[2497206172, 46060]
[1150216109, 61357]
[767599743, 43666]
[2568630018, 2618]
[2384324267, 23419]
[3459365011, 51705]
[2436196137, 60544]
[1047794763, 14178]
[3215493868, 80]
[1978029658, 51780]
[657272469, 17198]
[1547471171, 54986]
[3458059877, 80]
[2871278039, 1433]
[2568646491, 52833]
[2568619006, 61171]
[2873033828, 1433]
[3084347922, 61893]
[3445766203, 57480]
[2628245573, 80]
[1041448053, 80]
[1019891053, 11448]
[2938181278, 6881]
[2587701515, 50118]
[3131470146, 4500]
[3115460785, 56145]
[4251111610, 35460]
[936224849, 39378]
[1118238837, 15885]
[1312504039, 56254]
[2873038574, 1433]
[3084767208, 65016]
[2546538546, 9174]
[1058767949, 80]
[2568645795, 46065]
[1112697028, 26948]
[1118238949, 38267]
[883483775, 52440]
[2563625063, 50342]
[2819236250, 17422]
[2930946109, 1433]
[2422013948, 62126]
[901458954, 15230]
[3084347908, 11611]
[878214477, 45416]
[2704779529, 4706]
[3380512109, 7810]
[887047867, 6836]
[3135744942, 23]
[2955960314, 54394]
[2631373213, 52657]
[2131261333, 1484]
[3326307469, 52162]
[2496463154, 10422]
[3457748310, 42111]
[3460053287, 53512]
[2568626208, 53408]
[2369369441, 41059]
[3038919511, 9457]
[901458963, 59926]
[2930934218, 1433]
[1304425322, 80]
[1395201822, 57861]
[889082254, 64629]
[2142232427, 24]
[3213073794, 25]
[2930955227, 1433]
[3377011004, 443]
[2496192114, 50914]
[1150168546, 47332]
[2497218763, 61333]
[2131276926, 1485]
[3376501221, 61480]
[1150167352, 80]
[3147027654, 14052]
[1396511546, 23038]
[3183667943, 49446]
[3450749923, 3964]
[2162353558, 60308]
[2497259585, 29351]
[3462473074, 53]
[3136150081, 35432]
[3183667943, 59654]
[1404531315, 1024]
[2980000443, 445]
[2131259731, 45996]
[3380591510, 443]
[1404342762, 51743]
[827256402, 53]
[3853048901, 6881]
[3047721157, 36719]
[1150164574, 32904]
[868353363, 53]
[2497361064, 60468]
[1047790435, 443]
[3183667943, 477]
[1806863571, 9921]
[1118238908, 18686]
[804521614, 1194]
[3376504911, 80]
[2496339287, 10184]
[1048654051, 61397]
[3380098765, 80]
[3348087954, 4481]
[2650641544, 11706]
[3134039021, 443]
[1705334985, 49164]
[2369369394, 47394]
[2930937882, 1433]
[2568633639, 53009]
[2563614627, 50855]
[2930940006, 1433]
[2521759847, 50757]
[1047794879, 14388]
[928510204, 1038]
[2930941147, 1433]
[804639025, 43323]
[969416999, 53127]
[3450709573, 54304]
[3217963152, 29734]
[1047794791, 14849]
[1044061104, 45877]
[3895937645, 80]
[3027188505, 52560]
[2930942588, 1433]
[3380592488, 80]
[3895943311, 443]
[1555153719, 54782]
[3458025288, 80]
[3348091473, 52161]
[4250543943, 1215]
[867520856, 64483]
[1066650573, 37587]
[3136154160, 36695]
[3461936898, 65533]
[3457748310, 43556]
[2650641560, 48089]
[2782468125, 42210]
[1404529811, 19647]
[3380154050, 56403]
[2131276857, 443]
[3040515060, 60397]
[3378040738, 34262]
[1066650340, 48689]
[893275163, 9050]
[879515813, 58782]
[2131396240, 60389]
[3853577594, 24763]
[1304308002, 80]
[2728070811, 12422]
[2131277223, 62282]
[3174624057, 57602]
[3380491799, 80]
[2421966194, 53415]
[549536064, 6253]
[661489300, 80]
[3084347916, 45744]
[3450655069, 52244]
[1396567991, 40546]
[2624213484, 57890]
[2563595895, 40350]
[1044061100, 37147]
[590468465, 34673]
[2774995448, 29936]
[891952753, 47751]
[3462474714, 49443]
[1055891243, 58530]
[3149676570, 80]
[2930952430, 1433]
[3509966903, 1433]
[2369369435, 4614]
[2873038615, 1433]
[892331584, 51116]
[2369369407, 16193]
[2568626313, 38974]
[2931236842, 40039]
[3212888994, 25047]
[878187523, 49836]
[2131261163, 80]
[1044061084, 45258]
[2334812980, 35702]
[2218861482, 64719]
[1587862994, 49503]
[1047796341, 3478]
[2585715394, 51374]
[2369369400, 16759]
[4251111611, 62922]
[3853956778, 55741]
[2570653230, 52618]
[3136152792, 59941]
[2790472538, 40380]
[881144105, 37266]
[901458968, 24319]
[3460538276, 51873]
[1044061070, 7753]
[2544671946, 12034]
[878208349, 49278]
[604124002, 25]
[1150180693, 443]
[1290052883, 80]
[3084347956, 33313]
[2131261378, 36398]
[2497357254, 49186]
[3895957009, 80]
[1404548668, 56384]
[1434715112, 31023]
[2369369438, 27407]
[3908509904, 80]
[3714964711, 55423]
[2155506867, 60750]
[1300717062, 59003]
[3445777409, 52596]
[3379687579, 80]
[1512320911, 5632]
[666230622, 80]
[1066650402, 47838]
[1118238855, 47710]
[2568632203, 59363]
[2650641545, 19233]
[1044061153, 42971]
[2568630168, 40626]
[3149635799, 41369]
[2993344819, 80]
[1404331679, 50996]
[3851993503, 5060]
[1505604574, 54542]
[2760034002, 64158]
[2568649770, 19933]
[2584772878, 47102]
[1118238819, 8184]
[1625155096, 9999]
[3890526536, 53]
[3226351545, 443]
[1061328453, 80]
[1505096124, 54773]
[1150217734, 9482]
[901458952, 30972]
[3522941447, 80]
[2930939200, 1433]
[549540925, 36987]
[549536077, 11618]
[2931785929, 1809]
[2247008365, 56823]
[549539139, 50330]
[4185489313, 44192]
[4129570077, 25198]
[1312789511, 29353]
[1118496405, 8080]
[1188532937, 21281]
[3907274860, 44812]
[773752436, 35052]
[2107251773, 53]
[1293552152, 55472]
[3084348077, 57634]
[2930948922, 1433]
[537680865, 18425]
[3380516834, 57938]
[3084348106, 29303]
[2873049002, 1433]
[2568632140, 31763]
[3214973085, 9000]
[3463743771, 48255]
[3377006412, 80]
[2930940728, 1433]
[3174925106, 56863]
[2568630018, 60554]
[1044061106, 16723]
[2873037957, 1433]
[1044061154, 4819]
[3047821425, 50055]
[2568634274, 10410]
[2930942352, 1433]
[3461375420, 80]
[2873036146, 1433]
[1404551062, 52066]
[2245133452, 17769]
[1118238885, 64468]
[2369369432, 5269]
[3183667943, 4431]
[3457759382, 5666]
[3853230235, 61118]
[3084347926, 54079]
[2930935712, 1433]
[1395201793, 35580]
[1514909543, 9339]
[2873036918, 1433]
[2873045641, 1433]
[772530642, 80]
[3592659911, 35477]
[881144105, 33172]
[2728080429, 39258]
[3136151012, 62976]
[1429475422, 50611]
[889082254, 43462]
[901458953, 61388]
[835556710, 80]
[1118238952, 3654]
[2491739386, 53]
[2631258387, 52885]
[3593838677, 18950]
[3114924088, 80]
[3853119957, 3569]
[2819322240, 2807]
[1150181236, 42604]
[1058969722, 1761]
[1404548811, 50735]
[3380592488, 443]
[3507257122, 25]
[776521700, 1398]
[1044061106, 42963]
[2533413608, 54691]
[2838700219, 65495]
[2131259483, 50050]
[3450748166, 11655]
[1404503494, 58247]
[2823251090, 15287]
[3714655560, 51361]
[2584823700, 20272]
[1116280747, 52548]
[2930935503, 1433]
[3136156221, 44138]
[1044061081, 49512]
[1316185574, 80]
[3119313136, 64207]
[1058767999, 80]
[3183667943, 63439]
[3149635653, 53097]
[3579513862, 24102]
[2650661287, 27016]
[1365301184, 4087]
[1592489583, 13590]
[2873045939, 1433]
[2369369437, 57445]
[2162476509, 3426]
[1063293045, 8585]
[3084347926, 40664]
[760509449, 63946]
[3875939444, 1911]
[961817390, 443]
[2568632130, 52035]
[3579428978, 33261]
[779307831, 3687]
[839630159, 53]
[1118238952, 4848]
[1511330558, 44960]
[2873035190, 1433]
[881958639, 36505]
[2568633612, 14288]
[2131277429, 80]
[1069716285, 4002]
[3380201721, 53701]
[1773837517, 80]
[2131381956, 443]
[1047949392, 60262]
[3002351469, 51972]
[2422058764, 50849]
[3218667214, 64314]
[835556825, 54204]
[3462478511, 47211]
[1150181300, 56405]
[2568633636, 45464]
