[3567980544, 5747]
[2270145455, 55215]
[3978971492, 18618]
[1962334033, 33675]
[2316446701, 51462]
[3890314078, 48613]
[3618075391, 20549]
[3223261523, 49200]
[2341409479, 10386]
[3454960060, 49707]
[842933045, 26899]
[3223163068, 39288]
[3255951679, 26724]
[3608344319, 42379]
[3559061198, 55430]
[3455005022, 57022]
[271618267, 52492]
[3449105954, 49950]
[3349864997, 30531]
[3223264350, 9865]
[3451181052, 46056]
[3890314061, 29913]
[3255897625, 58443]
[2338533213, 12430]
[3890314079, 35513]
[3978971493, 43992]
[4041960866, 32373]
[3890314059, 47270]
[4095553689, 50093]
[3256823543, 22]
[3338517787, 443]
[3617660680, 19972]
[3450301381, 43553]
[3607972020, 62186]
[3890314065, 20463]
[3257294798, 11537]
[3353138529, 43389]
[4095690781, 49912]
[3455005017, 47609]
[3335621742, 6881]
[1074109416, 48521]
[3451647821, 12069]
[3336890345, 43504]
[3334582490, 54641]
[2325272220, 51014]
[3451148445, 23]
[4099508508, 2323]
[846740845, 37328]
[3450272882, 50321]
[842953522, 39914]
[3890314034, 55119]
[3451524000, 5949]
[3446717150, 26604]
[3618074842, 33375]
[2270145476, 24790]
[3336904874, 26839]
[271618178, 35715]
[2336765189, 59863]
[3890314062, 18055]
[3890314059, 64672]
[3306296596, 50145]
[3890314061, 41742]
[1235565563, 37513]
[3349866776, 45433]
[4101994471, 45584]
[3443979646, 5746]
[3890314079, 59245]
[3450301381, 56019]
[3349929345, 54530]
[3890314062, 42240]
[3890314079, 37879]
[3569674294, 1024]
[3256844280, 80]
[3353138305, 51964]
[3890314056, 38423]
[3607524470, 1996]
[3349926202, 49462]
[843175458, 445]
[3349929696, 52185]
[3349715321, 50724]
[4107553341, 56234]
[3572013496, 55978]
[4211145858, 30272]
[3336846533, 36291]
[2316446585, 35725]
[3617680541, 46077]
[3233153792, 59225]
[3450221456, 4145]
[3347580141, 49748]
[3338477139, 63037]
[271618217, 35036]
[2339489107, 11640]
[3233162294, 36570]
[3474432575, 37215]
[1074109323, 62223]
[4030665149, 41311]
[3978971498, 37602]
[854965969, 52510]
[3472991563, 58910]
[3453510397, 1591]
[3259944716, 53537]
[3570063796, 63062]
[2270145447, 5108]
[2321242904, 13585]
[2270145438, 55733]
[3223261422, 28907]
[3443993398, 2059]
[3451423439, 10743]
[3978971496, 51720]
[3349865761, 7547]
[3347704048, 50735]
[2339489237, 54376]
[3446785977, 51530]
[3257308841, 17519]
[3451523144, 35523]
[3455661556, 20430]
[3223263978, 2060]
[3472901826, 56225]
[3399942817, 57473]
[3484728538, 64669]
[3474432169, 63787]
[3453500449, 36404]
[2205381794, 15269]
[4103997297, 49422]
[3335632092, 51080]
[3978971499, 29752]
[2325272364, 49193]
[4095704863, 55792]
[3229889425, 23]
[3608344338, 48660]
[843145574, 445]
[3257309638, 49737]
[846931476, 56172]
[3890314059, 13572]
[4096165165, 17965]
[3890314075, 38527]
[3451524013, 61011]
[3453511306, 12955]
[3978971492, 25062]
[3223197957, 53413]
[3353386197, 39344]
[4096180457, 57238]
[3233175746, 50454]
[2270145465, 36100]
[3446716693, 57590]
[3337857072, 52025]
[3617728085, 50781]
[4225762526, 37577]
[2270145411, 47838]
[3443993755, 52720]
[3268407348, 39251]
[3338141111, 1077]
[3890314079, 46538]
[3890314074, 3697]
[3449103414, 37860]
[3472982502, 35845]
[3472991916, 1723]
[3222708445, 59796]
[3337855493, 58386]
[3890314079, 55096]
[3453284079, 50373]
[3890314079, 51916]
[3766922916, 443]
[4041960786, 3513]
[3890314061, 55094]
[3451180813, 55248]
[3978971487, 49792]
[4225762492, 4097]
[3978971497, 44176]
[4093899651, 47726]
[3336861440, 49154]
[3571852779, 35775]
[3334583724, 49561]
[3454861034, 37082]
[3890314060, 30436]
[846936845, 47074]
[3608568501, 6088]
[2270145422, 32692]
[3680303370, 43210]
[1074109377, 60940]
[3336913723, 49856]
[3444018911, 123]
[3484939075, 34545]
[3445813241, 50460]
[3978971491, 55548]
[3336899094, 50157]
[3338631690, 51208]
[3569490223, 39552]
[3978971490, 26570]
[3233168788, 35652]
[3233199487, 59942]
[4041149909, 48604]
[3618074821, 29658]
[4109904406, 54320]
[3453324566, 11362]
[4225200602, 51514]
[1962334124, 12347]
[855533346, 1433]
[3262369218, 465]
[3890314056, 55675]
[1962333967, 49716]
[4030724796, 43316]
[3608555768, 57134]
[3569591412, 52763]
[3453188634, 42265]
[2336054841, 1433]
[3451523144, 60556]
[3338559042, 21034]
[3569674330, 49155]
[1074109375, 52863]
[3978971499, 25362]
[3337741037, 52847]
[3890314059, 45091]
[3306296585, 53178]
[3348701814, 53315]
[4104054412, 7620]
[3232231381, 49613]
[3353140404, 44823]
[855485365, 52072]
[3472991560, 33352]
[3257310109, 4100]
[3890314058, 48780]
[3472900297, 22]
[3347628436, 47509]
[3451524001, 44441]
[3349866915, 34802]
[2325246750, 5748]
[2339489111, 53118]
[3474255279, 34257]
[3347704836, 445]
[3257629871, 22]
[3890314056, 9265]
[3448447388, 44133]
[3472992948, 2451]
[1235566726, 445]
[3233155831, 49162]
[3890314065, 31426]
[3445811258, 1091]
[3337734869, 42470]
[3451397932, 52370]
[3260416673, 26620]
[2339489098, 64547]
[2339489130, 39642]
[3453716330, 54230]
[3453614995, 39468]
[4030724224, 40832]
[3451129629, 59842]
[3338599568, 15277]
[3451138512, 4024]
[3569567214, 52649]
