[1063862703, 3445778806]
[797598957, 2512673468]
[884039945, 1150180667]
[1316187361, 2496170307]
[3324415592, 1118496222]
[3045751257, 3183667943]
[3845373429, 1150181301]
[1578126912, 1058768263]
[2248062414, 1150181211]
[3085769602, 1396612089]
[3145608428, 1150164064]
[1063862702, 3445781160]
[3084348288, 1044061155]
[1043118826, 2138794912]
[1484632134, 803057554]
[4177847513, 1047789796]
[1578880467, 2247008320]
[2609281059, 1118496011]
[1583945285, 977403632]
[3895892020, 2563420806]
[2275296832, 3380592502]
[634634143, 3905153944]
[1150168393, 3450753699]
[3226460170, 2387641728]
[630482741, 3005361085]
[2507520772, 1118496011]
[3162970590, 876574587]
[2569337725, 3005361085]
[868826951, 1150168526]
[3845373420, 1150181239]
[1549363503, 3771551000]
[1958695494, 1300717192]
[669747874, 777835383]
[631448197, 3463480366]
[632143252, 3895957478]
[2069711799, 3136149647]
[3193678551, 835556857]
[1589507413, 2369372884]
[1053863883, 1511330462]
[4258816816, 879517165]
[3262918386, 1582432504]
[3895154237, 1773844447]
[2608973341, 3005361105]
[843140281, 3895937753]
[1150168411, 2568632154]
[1484025478, 1316321885]
[3730532746, 3445766906]
[1301910197, 1365261546]
[3084348979, 933551568]
[1547547189, 1150157878]
[4128442713, 2369374192]
[1150191271, 3076799096]
[756059280, 1302343544]
[1479363214, 3771550985]
[3324422156, 1118496222]
[957972899, 2594068508]
[2263958723, 3905145707]
[3463743104, 1304314969]
[2497500390, 1512238063]
[1063862720, 881145722]
[3135467754, 1150168540]
[3324415452, 1118496222]
[2497498099, 1512235569]
[906885809, 1150181256]
[1150168393, 2422058191]
[869146768, 3378033627]
[3880674438, 1118496156]
[3162188043, 2496469134]
[3324414964, 1118496222]
[2381072559, 3378185025]
[868249461, 2247038112]
[2609361043, 1066650589]
[3109755464, 812926718]
[2368940253, 1293898705]
[1063863080, 3445768092]
[2438970277, 977403516]
[2317078213, 868354199]
[1479383140, 1523687860]
[3182777214, 3271215079]
[1047946532, 2497387170]
[588582114, 3463479324]
[3095468126, 661489322]
[1150168395, 2650661957]
[1547475132, 2131261384]
[3260827545, 1654291745]
[964040649, 1466432651]
[1150193680, 3125531770]
[1150168395, 2568626208]
[1294224660, 2369372889]
[1300361831, 3377023127]
[667184809, 2497200771]
[1150168408, 2497360534]
[3084348288, 1044061116]
[4129448796, 1512238063]
[3085294662, 772528858]
[2247093572, 2819595661]
[1150178936, 661489281]
[3222710122, 1150157885]
[1317263013, 2496634382]
[3324423832, 1118496222]
[969078170, 3457695658]
[2407126711, 2858299502]
[3105537002, 977403492]
[827254653, 3457712431]
[2522318356, 3463482349]
[861479942, 1150157844]
[3332714741, 2131261376]
[1150168411, 3450734285]
[1546566108, 1304335773]
[957972899, 881147649]
[636460249, 3005361105]
[3904100145, 1066650510]
[1063862692, 881139877]
[1150193739, 2131277276]
[2368940525, 3461892088]
[4128842322, 2650655890]
[1477618939, 3771550985]
[3085765401, 3458056790]
[1150168411, 2497201650]
[3724525513, 3908556838]
[4129448412, 1512238063]
[3087288403, 812925706]
[1150193715, 4251111580]
[2919019530, 2155506867]
[814858395, 1300706345]
[899612724, 1046165240]
[3904100319, 1066650572]
[2247037761, 3895399214]
[2510302868, 3908675864]
[3222540182, 1066650543]
[1479406456, 1304397278]
[1150168400, 878208362]
[1483793312, 839630145]
[3845373438, 1150181269]
[1924254386, 1041642342]
[776047993, 2519160352]
[868249384, 875230365]
[3885405901, 2248069134]
