[3317677377, 16913]
[130907763, 49965]
[3527235256, 443]
[3510550621, 51162]
[2570153055, 443]
[2509121279, 80]
[2571612643, 443]
[2202473930, 443]
[3527231776, 443]
[2673481617, 47089]
[2305828337, 23]
[1748337821, 80]
[569173433, 80]
[133300646, 33175]
[3419683897, 53]
[2664482929, 8105]
[4054340614, 8080]
[815794596, 56534]
[1559534576, 30915]
[268652092, 10602]
[3461966131, 42924]
[1381418928, 445]
[738298015, 443]
[546911022, 22019]
[606568255, 85]
[3651289281, 51460]
[3464934781, 56985]
[1891116470, 46711]
[2106719533, 443]
[2292693594, 29895]
[3999512285, 51768]
[743225465, 80]
[278262747, 61835]
[1741636274, 62300]
[278262323, 63973]
[2106719522, 443]
[752637358, 443]
[1952855541, 25]
[1271933114, 443]
[823806019, 17674]
[285066077, 443]
[854577559, 6570]
[2206634729, 123]
[3978983271, 20878]
[41007145, 445]
[2213006692, 64937]
[2466099718, 52525]
[271263248, 80]
[3672220038, 443]
[2359200461, 443]
[227261261, 80]
[1216448794, 37592]
[3312537249, 50014]
[1053410335, 443]
[824900058, 8080]
[708108665, 19360]
[1866155706, 14514]
[795709583, 443]
[1535306583, 58308]
[828804836, 80]
[3905113433, 443]
[901828757, 53594]
[2198075859, 1935]
[597934663, 47305]
[3585093836, 443]
[2285206440, 443]
[3290986060, 40830]
[1432951639, 43679]
[791786789, 55967]
[815889552, 58564]
[1787165938, 80]
[3434281542, 61177]
[1067626245, 443]
[2359936907, 443]
[3585080804, 5222]
[1475266563, 53913]
[2005827030, 443]
[572512871, 52176]
[846938196, 12903]
[2197879034, 443]
[3672241734, 80]
[2472042637, 55675]
[3585292135, 443]
[697370761, 443]
[2353177135, 443]
[564858030, 80]
[2209280785, 443]
[1653549040, 80]
[2163344723, 443]
[963188234, 3389]
[1226489065, 443]
[3690457974, 46561]
[361305439, 443]
[2005170347, 80]
[752777339, 443]
[42949701, 8999]
[2571612629, 443]
[1963665623, 49047]
[1699890763, 56801]
[2188373465, 59869]
[3978977031, 22046]
[1721614130, 5034]
[564886009, 443]
[283919490, 443]
[2005170341, 443]
[752636864, 80]
[938036028, 56940]
[792609246, 80]
[3978983253, 54589]
[1748337805, 443]
[1233681599, 42072]
[2359200342, 80]
[1884312541, 25]
[3246557673, 25461]
[269244078, 4444]
[1535306503, 50308]
[1436278546, 50905]
[2452807984, 52205]
[3600697165, 443]
[2245316677, 20842]
[1920275326, 40499]
[3527231778, 443]
[829841984, 443]
[3320175498, 54805]
[1176410644, 55073]
[3307623565, 38166]
[2473967429, 36830]
[743827409, 443]
[3527231625, 443]
[3554137332, 53]
[2270403336, 45567]
[2155476788, 443]
[3765637344, 80]
[2330965325, 51619]
[844689218, 445]
[3526059765, 443]
[3997140488, 7011]
[4169061005, 24574]
[799043880, 443]
[1704556221, 57236]
[790630448, 443]
[3291145414, 62873]
[2377634726, 443]
[2571612654, 443]
[3729895575, 40897]
[3741542912, 5432]
[3978977030, 31644]
[1259838655, 80]
[3320803312, 57904]
[285066064, 443]
[1404924964, 19893]
[2258593755, 5000]
[1293494488, 22003]
[1275008038, 443]
[789255206, 443]
[815435447, 10001]
[1625930720, 25741]
[2462937898, 62638]
[738253883, 443]
[4217867032, 443]
[1927317170, 53244]
[1844870468, 55457]
[1629687806, 61957]
[828803100, 443]
[738555321, 30000]
[3622582069, 14598]
[3978983245, 43946]
[1706489681, 52802]
[3978983261, 42197]
[3766937890, 443]
[573092834, 443]
[269246053, 4443]
[47133642, 443]
[2106719520, 443]
[283919501, 443]
[3326872931, 50207]
[1187711148, 60503]
[3295892408, 443]
[795717928, 443]
[1572843216, 51341]
[3408283428, 19552]
[357843263, 443]
[752752172, 443]
[2272024570, 443]
