[4210523547, 54425]
[2872921403, 54117]
[2497434480, 36670]
[1505437946, 3389]
[957980414, 38968]
[3050050430, 64097]
[3119322740, 14013]
[765276350, 5632]
[957980337, 36359]
[2421980607, 63775]
[878214477, 50639]
[3450808581, 38853]
[1044061088, 52129]
[893275162, 37998]
[3450747475, 14008]
[549532445, 64583]
[2533379277, 5307]
[957342884, 39757]
[2563614075, 54120]
[2568632301, 52154]
[3328192779, 12138]
[1150180730, 38534]
[1523695202, 54264]
[2650661286, 49274]
[3084347946, 26199]
[3463577639, 80]
[2422005184, 16463]
[906391249, 12769]
[2421948467, 12197]
[2650665436, 52576]
[957348899, 60339]
[3195011371, 49193]
[2383461739, 49743]
[2650641662, 29047]
[2568632196, 54142]
[2369369438, 51693]
[1044061119, 24974]
[1302343623, 80]
[3084347956, 1736]
[775963762, 22222]
[3450763005, 1544]
[2041872026, 50219]
[3450763149, 6147]
[2368895203, 80]
[1044061164, 27832]
[969417024, 34346]
[1044061112, 60026]
[3084348044, 32658]
[1044061110, 1730]
[2568632221, 12706]
[1349791412, 53]
[1806830230, 19273]
[957346490, 53828]
[2568633658, 26150]
[3084347910, 15659]
[3214973085, 23223]
[2497235478, 22841]
[2568626320, 53374]
[2497369517, 10213]
[2422051465, 58226]
[1929832067, 23]
[2369369409, 37537]
[2497333830, 1225]
[3076900543, 35347]
[857382952, 61999]
[3906221687, 80]
[3510608095, 54396]
[2568632301, 52962]
[661549624, 4682]
[2346438877, 33435]
[2838261581, 59836]
[3894987542, 56268]
[3450780299, 29003]
[880011166, 11011]
[2624213453, 59795]
[1301131545, 25]
[2568632300, 50331]
[1806869443, 32515]
[2497233963, 26219]
[967831026, 33909]
[2568632222, 49836]
[1044061075, 44014]
[2967018646, 49607]
[3380591510, 443]
[3450736839, 57287]
[2568631111, 29387]
[2421963530, 58703]
[1577631904, 65469]
[1118496229, 7000]
[3460358295, 50478]
[2568633611, 2260]
[2512580789, 62468]
[2259717068, 22]
[846159132, 22433]
[1066650414, 49125]
[3084348032, 18983]
[2819306611, 49187]
[3457772342, 38980]
[2570663044, 53255]
[3040253215, 24001]
[3904406198, 12347]
[3906266449, 46477]
[3462520941, 443]
[2497340193, 52689]
[3579396556, 7104]
[906391295, 15598]
