[2570663056, 4637]
[1928396877, 33833]
[1523687866, 443]
[2944314214, 12388]
[901458966, 24462]
[2955960001, 60342]
[3892665284, 1118]
[2568632136, 54858]
[1047991639, 80]
[1118238854, 46050]
[1118238949, 60490]
[776763471, 13250]
[1773838708, 9612]
[3715022886, 49478]
[2930066772, 1433]
[2568632151, 47436]
[1304308002, 80]
[3076816787, 47656]
[3149635594, 39967]
[1404551062, 52066]
[1304339668, 443]
[3378005151, 53]
[3184364685, 55904]
[1349802919, 4821]
[808494435, 56593]
[1044061082, 49838]
[2624320154, 1208]
[3197664026, 61670]
[2584992565, 51525]
[1052284739, 443]
[1118238879, 10804]
[3380592472, 443]
[878187540, 49300]
[3853123436, 53349]
[3084348110, 14360]
[2410367412, 5432]
[3326307581, 51281]
[3083824994, 53]
[2491735984, 57060]
[2650664272, 55476]
[3213190024, 63576]
[3460666547, 51877]
[1044061087, 29260]
[901458975, 36762]
[1118238837, 38936]
[1150164558, 43983]
[1304406061, 38532]
[3458546798, 33371]
[1304351819, 40112]
[3853084621, 51851]
[2871808570, 1433]
[1104424792, 53]
[856507356, 27800]
[2563528853, 6699]
[1806862022, 49851]
[1488201273, 20928]
[1807013705, 20056]
[2955959981, 53895]
[590415881, 55141]
[3450826699, 1038]
[1476072225, 60312]
[3378106796, 443]
[3463573816, 53701]
[1188532972, 44122]
[2624213470, 50171]
[549532312, 6557]
[2497233013, 50162]
[1442302111, 445]
[901458958, 10951]
[1309829938, 28017]
[2247008346, 60904]
[1044061098, 55182]
[3136150125, 36015]
[2369130218, 32101]
[964056248, 80]
[2568646473, 50968]
[3046095898, 53551]
[3907274861, 34608]
[3509006170, 50186]
[1066650591, 60415]
[1150170556, 80]
[2759981521, 1241]
[901458946, 45900]
[2042901259, 64879]
[1310345580, 45530]
[841483037, 20001]
[1404523964, 49356]
[3183667943, 8370]
[1304351815, 8080]
[2568633658, 14674]
[2704780602, 29194]
[3226460844, 53]
[1118496222, 80]
[2369369428, 4265]
[2563590200, 50513]
[1001958252, 25]
[2369369467, 22889]
[779305300, 50366]
[3854332219, 40978]
[3183667943, 23894]
[901458949, 44308]
[3380532378, 443]
[949151127, 34645]
[2190754008, 53]
[3378033627, 33013]
[2568633645, 58306]
[2496589326, 19221]
[3197966578, 80]
[2247008323, 61661]
[867520856, 19875]
[3380213057, 16583]
[1150164511, 42809]
[1118238923, 59265]
[3134952662, 43925]
[1293576640, 58834]
[3134957688, 55300]
[936635723, 21073]
[3908453350, 443]
[767599680, 63604]
[2386516634, 1080]
[719667644, 34137]
[1523687858, 443]
[1150180663, 80]
[3084347916, 14142]
[3378030012, 443]
[2369369432, 44985]
[3076275510, 20885]
[989807345, 52269]
[796530702, 62753]
[1046164225, 46157]
[1055970225, 11850]
[2568628662, 3209]
[641785175, 3915]
[3853207512, 46172]
[2930066067, 1433]
[2369369408, 53752]
[1118238886, 6051]
[1066588862, 53]
[3854556506, 57412]
[3374701769, 55805]
[839630159, 53]
[3908554631, 80]
[1567676511, 56639]
[881139931, 36299]
[544985658, 4182]
[4254269139, 39449]
[1293596765, 60691]
[2369369406, 28462]
[3892664943, 51413]
[1310404435, 33340]
[2387641663, 57475]
[3908453107, 80]
[767599732, 39769]
[1302343532, 48547]
[2650641568, 12480]
[3520164864, 9626]
[2421951093, 3264]
[3183667943, 42848]
[2568641059, 53423]
[3174951679, 57077]
[2632064765, 37018]
[900470241, 58521]
[3149635594, 23601]
[1300717025, 53591]
[2930067450, 1433]
[1044061152, 37614]
[2563568891, 49919]
[2422011874, 51461]
[878209795, 49175]
[646216421, 52438]
[2131277220, 60102]
[1178730618, 4710]
[2162961856, 2704]
[3895286114, 15]
[3463494210, 2990]
[1395201804, 38509]
[3076816778, 33343]
[1044061102, 36964]
[1041642658, 80]
[1115920366, 80]
[2404437254, 18451]
[2431371844, 53]
[2821341326, 48538]
[592537957, 56367]
[3084348088, 13678]
[1150167470, 56714]
[2164233125, 56611]
[3076900483, 60263]
[3084347947, 5535]
[549539113, 49753]
[3083143140, 443]
[1309874084, 12466]
[2568633611, 65260]
[2568628551, 52737]
[3215493857, 443]
[2568628554, 41924]
[1429524531, 1047]
[2632890748, 42393]
[2568618849, 64105]
[2584870528, 50201]
[2568632136, 3617]
[3459323547, 50847]
[2632863630, 61418]
[3907275314, 55059]
[3201800566, 443]
[1773838392, 54580]
[2631299180, 62786]
[1118238948, 9699]
[3445781774, 54278]
[3905203836, 37228]
[3905397986, 1935]
[949151175, 41064]
[1797127040, 80]
[878206217, 48259]
[845153739, 4888]
[1404565950, 35453]
[1044061092, 50923]
[3445766764, 56748]
[2422006365, 49440]
[1047794772, 14055]
[2247086609, 61740]
[2247086816, 54634]
[2568632217, 57087]
[2794614273, 24981]
[904642522, 32877]
[2491844787, 59899]
[985601703, 53]
[901458956, 54973]
[1005131677, 58603]
[1066650402, 50747]
[549539173, 52984]
[2871796836, 1433]
[2650641620, 43204]
[839630119, 53]
[3074921826, 11887]
[2930071548, 1433]
[2497213464, 24460]
[1316396373, 10021]
[2568632142, 27311]
[3906207802, 40748]
[3245963601, 6001]
[658209220, 18151]
[2496571690, 6881]
[901458950, 3405]
[3584904929, 52940]
[549538953, 52917]
[2930059335, 1433]
[2519163896, 33278]
[3201747368, 7171]
[901458955, 48376]
[549644033, 5560]
[3714668822, 28627]
[2130036202, 33443]
[2496578954, 61964]
[3450744628, 50344]
[1773838053, 44203]
[1404525868, 50203]
[3084347909, 65240]
[2436194232, 57154]
[957897477, 53862]
[3183667943, 27351]
[3134044453, 80]
[2142185770, 9518]
[1118238886, 15714]
[2568632205, 61331]
[3908553275, 80]
[3185145974, 54265]
[2650641589, 30908]
[549539029, 16973]
[827799893, 60421]
[1429475763, 62693]
[891900961, 56236]
[2140783657, 55659]
[3463903289, 9030]
[2963251702, 51963]
[3378608356, 80]
[2930058255, 1433]
[3714668245, 38191]
[2930059905, 1433]
[3084348077, 48239]
[3150399943, 51530]
[1044061157, 59951]
[2930058636, 1433]
